RK	Player	Team	W	L	ERA▲	G	GS	SV	SVO	IP	H	R	ER	HR	BB	SO	AVG	WHIP
40	Mikolas, M	STL	9	14	4.16	32	32	0	0	184	193	90	85	27	32	144	0.272	1.22
41	Lucchesi, J	SD	10	10	4.18	30	30	0	0	163.2	144	78	76	23	56	158	0.233	1.22
42	Keller, B	KC	7	14	4.19	28	28	0	0	165.1	154	80	77	15	70	122	0.247	1.35
43	Wainwright, A	STL	14	10	4.19	31	31	0	0	171.2	181	83	80	22	64	153	0.273	1.43
44	Syndergaard, N	NYM	10	8	4.28	32	32	0	0	197.2	194	101	94	24	50	202	0.256	1.23
45	Leake, M	ARI	12	11	4.29	32	32	0	0	197	227	114	94	41	27	127	0.286	1.29
46	Ray, R	ARI	12	8	4.34	33	33	0	0	174.1	150	91	84	30	84	235	0.234	1.34
47	Roark, T	OAK	10	10	4.35	31	31	0	0	165.1	180	84	80	28	51	158	0.275	1.4
48	Kelly, M	ARI	13	14	4.42	32	32	0	0	183.1	184	95	90	29	57	158	0.26	1.31
49	Musgrove, J	PIT	11	12	4.44	32	31	0	0	170.1	168	98	84	21	39	157	0.254	1.22
50	Tanaka, M	NYY	11	9	4.45	32	31	0	0	182	186	95	90	28	40	149	0.261	1.24
51	Lester, J	CHC	13	10	4.46	31	31	0	0	171.2	205	101	85	26	52	165	0.294	1.5
52	Bauer, T	CIN	11	13	4.48	34	34	0	0	213	184	118	106	34	82	253	0.23	1.25
53	Boyd, M	DET	9	12	4.56	32	32	0	0	185.1	178	101	94	39	50	238	0.247	1.23
54	Bailey, H	OAK	13	9	4.57	31	31	0	0	163.1	162	84	83	21	53	149	0.256	1.32
55	Quintana, J	CHC	13	9	4.68	32	31	0	0	171	191	100	89	20	46	152	0.282	1.39
56	Nova, I	CWS	11	12	4.72	34	34	0	0	187	225	107	98	30	47	114	0.303	1.45
57	Marquez, G	COL	12	5	4.76	28	28	0	0	174	174	96	92	29	35	175	0.259	1.2
58	Perez, M	MIN	10	7	5.12	32	29	0	0	165.1	184	104	94	23	67	135	0.279	1.52
59	Junis, J	KC	9	14	5.24	31	31	0	0	175.1	192	108	102	31	58	164	0.276	1.43
60	Lopez, R	CWS	10	15	5.38	33	33	0	0	184	203	119	110	35	65	169	0.278	1.46
61	Porcello, R	BOS	14	12	5.52	32	32	0	0	174.1	198	114	107	31	45	143	0.278	1.39
